iter	Logloss
0	0.671456243
1	0.6499681555
2	0.6301699585
3	0.6116077817
4	0.5938015075
5	0.5765270067
6	0.5575712691
7	0.541249133
8	0.5263243736
9	0.5134679388
10	0.4981412105
11	0.4854048877
12	0.4725300006
13	0.4607996311
14	0.4507145067
15	0.4409606582
16	0.4308387743
17	0.4217591725
18	0.4098870099
19	0.4020142148
20	0.393693549
21	0.3863818103
22	0.3792842156
23	0.3724445424
24	0.3663934748
25	0.3603571833
26	0.3536797296
27	0.3480704789
28	0.3423261298
29	0.3367833415
30	0.331756417
31	0.3269504775
32	0.3226207435
33	0.3183121791
34	0.3142700602
35	0.3107159695
36	0.3071927172
37	0.303592542
38	0.3002612236
39	0.297013223
40	0.2930717903
41	0.2892844899
42	0.2858028484
43	0.2831042242
44	0.2806182446
45	0.2777770598
46	0.2757580577
47	0.2728156685
48	0.2703923805
49	0.2683007556
50	0.2661628594
51	0.2639522512
52	0.2621278324
53	0.2604445456
54	0.2584512454
55	0.256413026
56	0.2547782905
57	0.2530415805
58	0.2517926412
59	0.2501966309
60	0.2488585126
61	0.2472510284
62	0.2457214269
63	0.244677624
64	0.2434263785
65	0.2423318193
66	0.2413790079
67	0.2403635312
68	0.2392372329
69	0.2380805391
70	0.2370505698
71	0.2358487828
72	0.2346580262
73	0.2338673855
74	0.2329562611
75	0.2320427955
76	0.2309178538
77	0.2302472711
78	0.2294638705
79	0.2286855182
80	0.2279511163
81	0.22737596
82	0.2267449113
83	0.2260168035
84	0.225330262
85	0.2247209822
86	0.2241894638
87	0.2236338038
88	0.223213931
89	0.2225760273
90	0.222021614
91	0.2215126183
92	0.220868958
93	0.2203760077
94	0.2199064813
95	0.2194992425
96	0.2190290172
97	0.2186580961
98	0.2182756772
99	0.2178470865
100	0.2174401126
101	0.2170358231
102	0.2166552129
103	0.2162901086
104	0.215919901
105	0.2155948197
106	0.2150588326
107	0.2147018708
108	0.214399805
109	0.2141196248
110	0.2137852321
111	0.2134599179
112	0.2131308994
113	0.2128252453
114	0.2125586818
115	0.2123225896
116	0.2120522292
117	0.2118320626
118	0.2114480182
119	0.2111752257
120	0.2109554363
121	0.210648217
122	0.2103763363
123	0.2101961044
124	0.2099324305
125	0.2097559024
126	0.2095584985
127	0.2093693234
128	0.2091483795
129	0.2089550408
130	0.2088002975
131	0.2086155374
132	0.2084261555
133	0.2082690449
134	0.2081108877
135	0.2079224917
136	0.2077088015
137	0.2075299874
138	0.2073729615
139	0.2071346451
140	0.2069839162
141	0.2068383289
142	0.2066717455
143	0.2065340474
144	0.2063476664
145	0.2062083749
146	0.2060579411
147	0.2059096808
148	0.2058000151
149	0.205692853
150	0.2055326976
151	0.2054045245
152	0.2052724743
153	0.2051315836
154	0.2050321785
155	0.2048931303
156	0.2047819432
157	0.204673101
158	0.2045466998
159	0.2044250235
160	0.2043229267
161	0.2042372059
162	0.2041120512
163	0.204015743
164	0.2038933954
165	0.2037850248
166	0.2036664599
167	0.2035679377
168	0.2034732945
169	0.2033765687
170	0.2032759267
171	0.2031600896
172	0.2030790652
173	0.2029876541
174	0.2028731333
175	0.2027964585
176	0.202694608
177	0.2026071152
178	0.2025102256
179	0.2024226884
180	0.2023558536
181	0.2022666469
182	0.2021907735
183	0.2021030957
184	0.2020008762
185	0.20193278
186	0.201858596
187	0.2017833209
188	0.2016787734
189	0.2015982744
190	0.2015171357
191	0.2014436506
192	0.2013510967
193	0.2012656857
194	0.2011916941
195	0.2011180271
196	0.2010425543
197	0.2009766117
198	0.2008820098
199	0.2007916708
200	0.200729898
201	0.2006055741
202	0.200538717
203	0.2004643459
204	0.2003977594
205	0.2003323803
206	0.2002446105
207	0.2001809358
208	0.2001053742
209	0.2000509928
210	0.1999442516
211	0.1998765613
212	0.1998011594
213	0.1997514152
214	0.1996790423
215	0.1996080354
216	0.1995310148
217	0.1994808879
218	0.1994104297
219	0.199346332
220	0.1992819563
221	0.1992210199
222	0.1991644351
223	0.1990954423
224	0.1990476096
225	0.19897356
226	0.1989163007
227	0.198813543
228	0.1987547634
229	0.1986604713
230	0.1986124187
231	0.1985532606
232	0.1984724137
233	0.1983987509
234	0.1983360372
235	0.1982630479
236	0.198203506
237	0.1981434175
238	0.1980935073
239	0.198051185
240	0.1980016469
241	0.1979602075
242	0.1979070725
243	0.1978505343
244	0.1978081084
245	0.1977388087
246	0.1976823635
247	0.1976102327
248	0.1975400938
249	0.1974394391
250	0.1974050009
251	0.1973441977
252	0.1972859752
253	0.1972107763
254	0.1971562278
255	0.1971073177
256	0.1970670402
257	0.196993036
258	0.1969622115
259	0.1968928835
260	0.1968262304
261	0.1967831322
262	0.1967139596
263	0.1966756454
264	0.1966177697
265	0.1965396781
266	0.1964761419
267	0.1963998974
268	0.1963305039
269	0.1962776428
270	0.1962380314
271	0.1961929941
272	0.1961527271
273	0.1961147047
274	0.196031442
275	0.195971073
276	0.1959209101
277	0.1958621516
278	0.1958179358
279	0.1957795476
280	0.1957263968
281	0.1956853306
282	0.1956178571
283	0.1955675504
284	0.1955210181
285	0.1954766765
286	0.1954373611
287	0.1954052287
288	0.1953558239
289	0.1953105571
290	0.1952652534
291	0.1951682631
292	0.1951207222
293	0.1950531388
294	0.1950071943
295	0.1949679836
296	0.1949110594
297	0.1948466837
298	0.1948028104
299	0.1947430484
300	0.1947015487
301	0.1946609593
302	0.1946308812
303	0.1945924486
304	0.1945330505
305	0.1944817711
306	0.1944420994
307	0.1943636515
308	0.1943141631
