iter	Passed	Remaining
0	38	26112
1	79	26891
2	116	26282
3	160	27155
4	205	27816
5	248	27966
6	294	28381
7	341	28740
8	386	28892
9	424	28515
10	471	28697
11	517	28854
12	563	28955
13	609	29055
14	655	29122
15	704	29284
16	752	29402
17	801	29523
18	848	29556
19	895	29602
20	945	29707
21	994	29783
22	1037	29691
23	1085	29723
24	1134	29774
25	1184	29840
26	1234	29894
27	1280	29859
28	1326	29833
29	1373	29813
30	1419	29760
31	1469	29798
32	1517	29799
33	1566	29802
34	1611	29740
35	1660	29746
36	1707	29726
37	1754	29695
38	1799	29629
39	1842	29523
40	1890	29511
41	1940	29515
42	1987	29483
43	2031	29409
44	2079	29385
45	2125	29342
46	2174	29327
47	2223	29319
48	2268	29255
49	2312	29183
50	2362	29189
51	2411	29172
52	2457	29117
53	2504	29085
54	2550	29027
55	2595	28966
56	2644	28951
57	2690	28898
58	2734	28832
59	2780	28782
60	2825	28716
61	2869	28647
62	2914	28586
63	2959	28529
64	3007	28500
65	3052	28444
66	3094	28357
67	3139	28301
68	3185	28252
69	3234	28231
70	3286	28239
71	3333	28199
72	3379	28145
73	3424	28090
74	3470	28042
75	3519	28019
76	3566	27975
77	3610	27912
78	3656	27861
79	3703	27823
80	3750	27784
81	3794	27720
82	3843	27693
83	3898	27705
84	3953	27720
85	4007	27727
86	4059	27716
87	4104	27661
88	4152	27621
89	4199	27578
90	4245	27525
91	4292	27479
92	4336	27415
93	4380	27356
94	4427	27312
95	4471	27249
96	4516	27195
97	4563	27151
98	4608	27089
99	4654	27043
100	4701	27000
101	4747	26947
102	4791	26885
103	4836	26831
104	4882	26781
105	4930	26743
106	4976	26694
107	5023	26650
108	5069	26605
109	5118	26568
110	5164	26522
111	5207	26454
112	5255	26416
113	5301	26366
114	5349	26326
115	5397	26287
116	5442	26233
117	5484	26166
118	5523	26083
119	5560	25996
120	5602	25928
121	5639	25838
122	5676	25750
123	5716	25679
124	5760	25624
125	5797	25537
126	5836	25461
127	5879	25400
128	5916	25318
129	5954	25237
130	5990	25150
131	6033	25094
132	6076	25035
133	6117	24970
134	6200	25076
135	6251	25053
136	6298	25010
137	6344	24964
138	6387	24905
139	6429	24847
140	6475	24798
141	6514	24727
142	6555	24664
143	6597	24602
144	6641	24551
145	6686	24500
146	6727	24438
147	6772	24390
148	6811	24319
149	6850	24249
150	6888	24178
151	6928	24111
152	6970	24053
153	7006	23977
154	7045	23910
155	7086	23847
156	7123	23775
157	7160	23700
158	7201	23641
159	7242	23584
160	7281	23518
161	7320	23453
162	7366	23411
163	7415	23377
164	7460	23331
165	7503	23278
166	7549	23234
167	7592	23183
168	7635	23133
169	7681	23088
170	7729	23054
171	7772	23002
172	7819	22961
173	7865	22919
174	7903	22851
175	7944	22794
176	7985	22738
177	8023	22673
178	8062	22610
179	8103	22553
180	8143	22495
181	8180	22428
182	8222	22376
183	8268	22332
184	8316	22297
185	8355	22236
186	8393	22171
187	8433	22116
188	8474	22061
189	8512	21998
190	8548	21931
191	8591	21882
192	8630	21822
193	8670	21764
194	8709	21706
195	8751	21654
196	8792	21600
197	8830	21542
198	8871	21488
199	8910	21430
200	8948	21369
201	8986	21310
202	9027	21257
203	9070	21208
204	9110	21153
205	9147	21093
206	9190	21044
207	9231	20993
208	9268	20931
209	9311	20884
210	9352	20831
211	9390	20773
212	9428	20716
213	9468	20662
214	9508	20609
215	9546	20552
216	9583	20492
217	9647	20489
218	9714	20494
219	9754	20439
220	9797	20393
221	9841	20348
222	9883	20299
223	9921	20240
224	9962	20189
225	10001	20136
226	10042	20085
227	10082	20032
228	10122	19979
229	10160	19923
230	10197	19865
231	10236	19811
232	10278	19762
233	10319	19713
234	10358	19658
235	10396	19603
236	10438	19556
237	10481	19509
238	10519	19453
239	10558	19400
240	10599	19351
241	10637	19296
242	10672	19237
243	10712	19185
244	10754	19138
245	10792	19084
246	10830	19030
247	10871	18981
248	10914	18936
249	10954	18885
250	10996	18837
251	11037	18789
252	11075	18736
253	11114	18683
254	11152	18631
255	11194	18585
256	11229	18526
257	11264	18469
258	11302	18415
259	11346	18373
260	11384	18319
261	11424	18269
262	11466	18224
263	11504	18172
264	11543	18121
265	11580	18067
266	11623	18023
267	11662	17972
268	11699	17919
269	11738	17869
270	11781	17824
271	11820	17774
272	11856	17720
273	11895	17669
274	11935	17621
275	11972	17568
276	12011	17519
277	12050	17469
278	12092	17422
279	12128	17370
280	12166	17318
281	12205	17269
282	12245	17221
283	12280	17166
284	12318	17115
285	12358	17068
286	12396	17017
287	12434	16968
288	12474	16920
289	12515	16874
290	12557	16829
291	12597	16781
292	12635	16731
293	12675	16684
294	12715	16637
295	12753	16588
296	12793	16541
297	12833	16494
298	12870	16442
299	12910	16396
300	12950	16349
301	12991	16303
302	13029	16254
303	13065	16203
304	13109	16161
305	13153	16119
306	13198	16079
307	13243	16038
308	13283	15991
309	13318	15939
310	13358	15892
311	13399	15847
312	13440	15802
313	13477	15752
314	13518	15706
315	13557	15660
316	13594	15610
317	13632	15561
318	13674	15517
319	13712	15469
320	13748	15418
321	13789	15373
322	13827	15326
323	13870	15282
324	13904	15230
325	13941	15181
326	13983	15138
327	14021	15090
328	14060	15043
329	14099	14996
330	14140	14952
331	14179	14905
332	14219	14860
333	14260	14815
334	14301	14771
335	14339	14723
336	14375	14673
337	14414	14627
338	14457	14585
339	14492	14535
340	14530	14487
341	14570	14443
342	14609	14396
343	14647	14349
344	14690	14307
345	14732	14263
346	14773	14220
347	14811	14173
348	14847	14124
349	14890	14081
350	14929	14036
351	14968	13990
352	15009	13946
353	15052	13904
354	15094	13861
355	15129	13812
356	15169	13767
357	15208	13721
358	15245	13674
359	15284	13628
360	15324	13583
361	15370	13544
362	15408	13498
363	15444	13450
364	15487	13407
365	15524	13361
366	15561	13314
367	15598	13267
368	15639	13223
369	15684	13183
370	15724	13139
371	15765	13095
372	15807	13053
373	15845	13006
374	15883	12960
375	15923	12916
376	15964	12872
377	16002	12827
378	16040	12781
379	16083	12739
380	16123	12695
381	16160	12648
382	16199	12604
383	16241	12562
384	16278	12515
385	16314	12468
386	16352	12423
387	16392	12378
388	16432	12334
389	16474	12292
390	16512	12246
391	16556	12206
392	16597	12162
393	16639	12120
394	16677	12075
395	16717	12031
396	16755	11986
397	16795	11942
398	16835	11898
399	16877	11856
400	16914	11810
401	16954	11766
402	16993	11722
403	17035	11680
404	17072	11634
405	17109	11588
406	17165	11556
407	17224	11525
408	17262	11479
409	17303	11436
410	17340	11391
411	17381	11348
412	17423	11306
413	17462	11262
414	17500	11216
415	17537	11171
416	17576	11127
417	17620	11086
418	17657	11040
419	17694	10996
420	17737	10954
421	17776	10910
422	17812	10864
423	17851	10820
424	17891	10777
425	17932	10734
426	17968	10688
427	18009	10645
428	18051	10603
429	18091	10560
430	18132	10517
431	18179	10478
432	18216	10433
433	18252	10387
434	18293	10345
435	18335	10303
436	18376	10260
437	18414	10216
438	18453	10172
439	18494	10129
440	18531	10085
441	18567	10039
442	18607	9996
443	18649	9954
444	18688	9910
445	18727	9867
446	18767	9824
447	18813	9784
448	18852	9740
449	18892	9698
450	18933	9655
451	18971	9611
452	19008	9567
453	19049	9524
454	19093	9483
455	19129	9439
456	19169	9395
457	19207	9352
458	19245	9308
459	19280	9263
460	19316	9218
461	19355	9174
462	19395	9132
463	19431	9087
464	19469	9043
465	19510	9001
466	19550	8959
467	19587	8915
468	19625	8871
469	19665	8828
470	19710	8787
471	19748	8744
472	19784	8700
473	19821	8656
474	19863	8614
475	19904	8572
476	19941	8528
477	19979	8485
478	20023	8444
479	20063	8401
480	20100	8357
481	20141	8315
482	20181	8272
483	20215	8228
484	20253	8184
485	20293	8142
